Secured Property Tax Payment History,,,,,,,,,,,,,,,
Parcel Number   :  061-052-020,,,,,,,,,,,,,,,
status ,done,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Roll,Payment,Payment,Inst #,Batch #,Seq #,Penalty,Fee,Tax,Payment,Payment,,,,,
Year,Date,Type,,,,Amount,Amount,Amount,Amount,Status,,,,,
,,,,,,,,,,,,,,,
2023,2022-10-23 00:00:00,Cash/Check ,2 ,,,0,0,49682.53,49682.53,Paid  ,,,,,
2023,2022-10-23 00:00:00,Cash/Check ,1 ,,,0,0,49682.53,49682.53,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,99365.06,99365.06,,99365.06,,,,
,,,,,,,,,,,,,,,
2022,2022-11-01 00:00:00,Cash/Check ,2 ,,,0,0,48509.04,48509.04,Paid  ,,,,,
2022,2023-02-01 00:00:00,Cash/Check ,1 ,,,0,0,48509.04,48509.04,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,97018.08,97018.08,,97018.08,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2021,2020-11-20 00:00:00,Cash/Check ,2 ,,,0,0,47712.33,47712.33,Paid  ,,,,,
2021,2020-11-20 00:00:00,Cash/Check ,1 ,,,0,0,47712.33,47712.33,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,95424.66,95424.66,,95424.66,,,,
,,,,,,,,,,,,,,,
2020,2020-11-20 00:00:00,Cash/Check ,2 ,,,0,0,47342.17,47342.17,Paid  ,,,,,
2020,2020-11-20 00:00:00,Cash/Check ,1 ,,,0,0,47342.17,47342.17,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,94684.34,94684.34,,94684.34,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2019,2019-10-28 00:00:00,Cash/Check ,2 ,,,0,0,46793.09,46793.09,Paid  ,,,,,
2019,2019-10-28 00:00:00,Cash/Check ,1 ,,,0,0,46793.09,46793.09,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,93586.18,93586.18,,93586.18,,,,
,,,,,,,,,,,,,,,
2018,2018-10-19 00:00:00,Cash/Check ,2 ,,,0,0,45663.23,45663.23,Paid  ,,,,,
2018,2018-10-19 00:00:00,Cash/Check ,1 ,,,0,0,45663.23,45663.23,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,91326.46,91326.46,,91326.46,,,,
,,,,,,,,,,,,,,,
2017,2017-10-27 00:00:00,Cash/Check ,2 ,,,0,0,45403.59,45403.59,Paid  ,,,,,
2017,2017-10-27 00:00:00,Cash/Check ,1 ,,,0,0,45403.59,45403.59,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,90807.18,90807.18,,90807.18,,,,
,,,,,,,,,,,,,,,
2016,2016-10-27 00:00:00,Cash/Check ,2 ,,,0,0,44382.24,44382.24,Paid  ,,,,,
2016,2016-10-27 00:00:00,Cash/Check ,1 ,,,0,0,44382.24,44382.24,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,88764.48,88764.48,,88764.48,,,,
,,,,,,,,,,,,,,,
2015,2015-10-27 00:00:00,Cash/Check ,2 ,,,0,0,44018.29,44018.29,Paid  ,,,,,
2015,2015-10-27 00:00:00,Cash/Check ,1 ,,,0,0,44018.29,44018.29,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,88036.58,88036.58,,88036.58,,,,
,,,,,,,,,,,,,,,
2014,2014-10-29 00:00:00,Cash/Check ,2 ,,,0,0,43221.37,43221.37,Paid  ,,,,,
2014,2014-10-29 00:00:00,Cash/Check ,1 ,,,0,0,43221.37,43221.37,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,87603.61,87603.61,,87603.61,,,,
,,,,,,,,,,,,,,,
2013  ,10/11/2013 ,Cash/Check ,2 ,9013 ,2162 ,0,0,34605.56,34605.56,Paid  ,,,,,
2013  ,10/11/2013 ,Cash/Check ,1 ,9013 ,2161 ,0,0,34605.56,34605.56,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,69211.12,69211.12,,69211.12,,,,
,,,,,,,,,,,,,,,
2012  ,10/26/2012 ,Cash/Check ,2 ,9013 ,945 ,0,0,34758.3,34758.3,Paid  ,,,,,
2012  ,10/26/2012 ,Cash/Check ,1 ,9013 ,944 ,0,0,34758.3,34758.3,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,69516.6,69516.6,,69516.6,,,,
,,,,,,,,,,,,,,,
2011  ,01/23/2012 ,Cash/Check ,2 ,1004 ,23 ,0,0,34774.33,34774.33,Paid  ,,,,,
2011  ,01/23/2012 ,Cash/Check ,1 ,1004 ,22 ,3477.43,0,34774.33,38251.76,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,69548.66,73026.09,,73026.09,,,,
,,,,,,,,,,,,,,,
2010  ,02/16/2011 ,Cash/Check ,2 ,1006 ,175 ,0,0,40263.36,40263.36,Paid  ,,,,,
2010  ,11/01/2010 ,Cash/Check ,1 ,1002 ,161 ,0,0,40263.36,40263.36,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,80526.72,80526.72,,80526.72,,,,
,,,,,,,,,,,,,,,
2009  ,09/11/2009 ,Cash/Check ,2 ,1007 ,132 ,0,0,39966.87,39966.87,Paid  ,,,,,
2009  ,09/11/2009 ,Cash/Check ,1 ,1007 ,131 ,0,0,39966.87,39966.87,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,79933.74,79933.74,,79933.74,,,,
,,,,,,,,,,,,,,,
2008  ,01/28/2009 ,Cash/Check ,2 ,8001 ,15 ,0,0,34418.65,34418.65,Paid  ,,,,,
2008  ,10/27/2008 ,Cash/Check ,1 ,1002 ,25 ,0,0,34418.65,34418.65,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,68837.3,68837.3,,68837.3,,,,
,,,,,,,,,,,,,,,
2007  ,12/07/2007 ,WEB ECheck ,1 ,9004 ,0 ,0,0,33481.86,33481.86,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,33481.86,33481.86,,33481.86,,,,
,,,,,,,,,,,,,,,
2006  ,04/10/2007 ,Cash/Check ,2 ,1060 ,111 ,0,0,32106.22,32106.22,Paid  ,,,,,
2006  ,12/11/2006 ,WEB ECheck ,1 ,9004 ,0 ,0,0,32106.22,32106.22,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,64212.44,64212.44,,64212.44,,,,
,,,,,,,,,,,,,,,
2005  ,04/09/2006 ,WEB ECheck ,2 ,9004 ,0 ,0,0,30567.43,30567.43,Paid  ,,,,,
2005  ,04/09/2006 ,WEB ECheck ,1 ,9004 ,0 ,3056.74,0,30567.43,33624.17,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,61134.86,64191.6,,64191.6,,,,
,,,,,,,,,,,,,,,
2004  ,12/09/2004 ,Cash/Check ,2 ,1075 ,5 ,0,0,29874.85,29874.85,Paid  ,,,,,
2004  ,12/09/2004 ,Cash/Check ,1 ,1075 ,4 ,0,0,29874.85,29874.85,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,59749.7,59749.7,,,,,,
,,,,,,,,,,,,,,,
2003  ,11/05/2003 ,Cash/Check ,2 ,1038 ,93 ,0,0,29491.65,29491.65,Paid  ,,,,,
2003  ,11/05/2003 ,Cash/Check ,1 ,1038 ,92,0,0,29491.65,29491.65,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,58983.3,58983.3,,,,,,
